The Similar proteins with P50053
ID	Name	Domain	GO	Sequence
P49761	CLK3	0	0.201	0.013	
P49840	GSG2	0	0.139	0.018	
P49841	GSK3A	0	0.144	0.016	
P50613	CDK7	0	0.13	0.019	
P50750	CDK9	0	0.152	0.018	
P51451	BLK	0	0.207	0.015	
P51570	GAK	0	0.19	0.02	
P51617	INSRR	0	0.273	0.01	
P51812	RPS6KA3	0	0.157	0.021	
P51813	BMX	0	0.212	0.013	
P51817	PRKX	0	0.2	0.02	
P51955	NEK2	0	0.147	0.016	
P51956	NEK3	0	0.157	0.018	
P51957	NEK4	0	0.175	0.011	
P52333	JAK2	0	0.188	0.012	
P52564	MAP2K5	0	0.221	0.018	
P53350	PLK1	0	0.154	0.018	
P53355	DAPK1	0	0.157	0.012	
P53667	LCK	0	0.219	0.023	
P53671	LIMK1	0	0.191	0.022	
P53778	MAPK12	0	0.19	0.017	
P53779	MAPK10	0	0.197	0.016	
P54619	PRKAG1	0	0.173	0.019	
P54646	PRKAA2	0	0.146	0.014	
P54753	EPHB2	0	0.293	0.011	
P54756	EPHA4	0	0.26	0.011	
P54760	EPHB3	0	0.306	0.013	
P54762	EPHA8	0	0.333	0.011	
P54764	EPHA3	0	0.378	0.01	
P54819	AK2	0	0.132	0.028	
P55263	ADK	1	0.137	0.033	
P57058	HKDC1	0	0.115	0.012	
P57059	SIK1	0	0.15	0.015	
P57078	RIPK4	0	0.177	0.014	
P60891	PRPS1	0	0.099	0.019	
P67870	CSNK2B	0	0.163	0.02	
P68400	CSNK2A1	0	0.217	0.017	
P78356	PIP4K2B	0	0.184	0.015	
P78362	SRPK2	0	0.176	0.015	
P78368	CSNK1G2	0	0.157	0.013	
P78527	PRKDC	0	0.18	0.007	
P80192	MAP3K9	0	0.178	0.012	
Q00526	CDK3	0	0.13	0.022	
Q00532	CDKL1	0	0.183	0.015	
Q00534	CDK6	0	0.18	0.018	
Q00535	CDK5	0	0.15	0.019	
Q00536	CDK16	0	0.217	0.016	
Q00537	CDK17	0	0.132	0.017	
Q02156	PRKCE	0	0.197	0.015	
Q02750	MAK	0	0.148	0.021	
Q02763	TEK	0	0.387	0.011	
Q02779	MAP3K1	0	0.184	0.011	
Q03405	PLAUR	0	0.147	0.019	
Q04759	PRKCQ	0	0.187	0.013	
Q04771	ACVR1	0	0.242	0.016	
Q04912	MST1R	0	0.309	0.011	
Q05397	PTK2	0	0.238	0.01	
Q05513	PRKCZ	0	0.191	0.014	
Q05655	PRKCD	0	0.206	0.012	
Q05823	RNASEL	0	0.151	0.011	
Q06187	BTK	0	0.23	0.016	
Q06418	TYRO3	0	0.351	0.012	
Q07002	CDK18	0	0.132	0.015	
Q07912	TNK2	0	0.2	0.012	
Q08345	DDR1	0	0.306	0.012	
Q08881	IRAK4	0	0.201	0.015	
Q09013	DMPK	0	0.183	0.016	
Q12851	MAP4K2	0	0.226	0.013	
Q12852	MAP3K11	0	0.166	0.014	
Q12866	MERTK	0	0.325	0.011	
Q13043	STK4	0	0.198	0.019	
Q13131	PRKAA1	0	0.166	0.017	
Q13153	PAK1	0	0.187	0.016	
Q13163	MAP2K4	0	0.181	0.02	
Q13164	MAPK7	0	0.193	0.012	
Q13177	PAK2	0	0.181	0.016	
Q13188	STK3	0	0.2	0.014	
Q13233	MAP2K7	0	0.171	0.01	
Q13237	PRKG2	0	0.16	0.014	
Q13315	ATM	0	0.179	0.006	
Q13418	IKBKG	0	0.081	0.014	
Q13464	ROCK1	0	0.215	0.01	
Q13470	TNK1	0	0.222	0.013	
Q13523	PRPF4B	0	0.151	0.013	
Q13535	ATR	0	0.165	0.007	
Q13546	RIPK1	0	0.211	0.016	
Q13554	CAMK2B	0	0.194	0.012	
Q13555	CAMK2G	0	0.178	0.014	
Q13557	CAMK2D	0	0.176	0.015	
Q13627	DYRK1A	0	0.16	0.012	
Q13705	ACVR2B	0	0.277	0.016	
Q13873	BMPR2	0	0.297	0.013	
Q13882	PTK6	0	0.225	0.015	
Q13976	PRKG1	0	0.176	0.014	
Q14004	CDK13	0	0.169	0.008	
Q14012	CAMK1	0	0.181	0.019	
Q14164	IKBKB	0	0.225	0.013	
Q14289	PTK2B	0	0.226	0.012	
Q14680	MELK	0	0.185	0.013	
Q15078	CDK5R1	0	0.097	0.015	
Q15118	PDK1	0	0.162	0.019	
Q15119	PDK2	0	0.161	0.019	
Q15120	PDK3	0	0.159	0.015	
Q15139	PRKD1	0	0.324	0.012	
Q15208	STK38	0	0.153	0.022	
Q15303	ERBB3	0	0.283	0.01	
Q15349	RPS6KA2	0	0.177	0.02	
Q15375	EPHA6	0	0.297	0.013	
Q15418	RPS6KA1	0	0.153	0.016	
Q15569	TESK1	0	0.164	0.014	
Q15746	MYLK	0	0.176	0.01	
Q15750	TAB1	0	0.099	0.014	
Q15759	MAPK11	0	0.214	0.018	
Q15831	STK11	0	0.215	0.019	
Q15835	GK	0	0.164	0.017	
Q16288	NTRK3	0	0.329	0.014	
Q16512	PKN1	0	0.192	0.015	
Q16513	PKN2	0	0.18	0.013	
Q16539	MAPK14	0	0.216	0.016	
Q16566	CAMK4	0	0.182	0.018	
Q16584	MAP3K10	0	0.164	0.017	
Q16620	NTRK2	0	0.273	0.012	
Q16644	MAPKAPK3	0	0.168	0.017	
Q16654	PDK4	0	0.172	0.017	
Q16659	MAPK6	0	0.167	0.014	
Q16816	PHKG1	0	0.126	0.017	
Q16832	DDR2	0	0.315	0.013	
Q16854	DGUOK	0	0.137	0.018	
Q16875	PFKFB3	0	0.121	0.017	
Q2M2I8	AAK1	0	0.212	0.012	
Q2TB90	HK1	0	0.131	0.011	
Q32MK0	MYLK3	0	0.157	0.014	
Q52WX2	SBK1	0	0.142	0.019	
Q56UN5	MAP3K15	0	0.175	0.009	
Q59H18	TNNI3K	0	0.15	0.013	
Q5S007	LIMK2	0	0.157	0.009	
Q5TCQ9	LYN	0	0.237	0.009	
Q5VT25	CDC42BPA	0	0.177	0.01	
Q6DT37	CDC42BPG	0	0.143	0.01	
Q6P3R8	NEK5	0	0.143	0.015	
Q6PHR2	ULK3	0	0.167	0.016	
Q6XUX3	DSTYK	0	0.222	0.012	
Q6ZN16	MAP3K14	0	0.181	0.01	
Q7KZI7	MARK2	0	0.181	0.013	
Q7L7X3	TAOK1	0	0.239	0.011	
Q86UE8	TLK2	0	0.168	0.014	
Q86UX6	STK32C	0	0.13	0.016	
Q86V86	PIM3	0	0.163	0.019	
Q86Y07	VRK2	0	0.199	0.016	
Q86YV6	MYLK4	0	0.166	0.017	
Q86Z02	HCK	0	0.265	0.011	
Q8IU85	CAMK1D	0	0.201	0.018	
Q8IVH8	CDKL3	0	0.175	0.014	
Q8IVW4	BRSK2	0	0.165	0.015	
Q8IW41	MAP4K3	0	0.188	0.014	
Q8IWQ3	MAPKAPK5	0	0.166	0.02	
Q8IY84	NIM1K	0	0.126	0.018	
Q8IYT8	ULK2	0	0.204	0.011	
Q8N4C8	MINK1	0	0.247	0.011	
Q8N568	DCLK2	0	0.151	0.015	
Q8N5S9	CAMKK1	0	0.159	0.015	
Q8N752	CSNK1A1L	0	0.158	0.017	
Q8NE63	HIPK3	0	0.179	0.015	
Q8NEB9	PIK3C3	0	0.178	0.014	
Q8NEV4	MYO3A	0	0.113	0.011	
Q8NFD2	ANKK1	0	0.133	0.011	
Q8NG66	NEK11	0	0.159	0.016	
Q8TBX8	PIP4K2C	0	0.155	0.017	
Q8TCT0	CERK	0	0.165	0.022	
Q8TD08	MAPK15	0	0.2	0.022	
Q8TD19	NEK9	0	0.155	0.012	
Q8TDC3	BRSK1	0	0.176	0.015	
Q8TDR2	STK35	0	0.154	0.016	
Q8TDX7	NEK7	0	0.155	0.016	
Q8TF76	GRK7	0	0.134	0.014	
Q8WTQ7	GRK6	0	0.135	0.016	
Q8WU08	STK32A	0	0.15	0.018	
Q8WXR4	MYO3B	0	0.133	0.011	
Q92630	DYRK2	0	0.156	0.022	
Q92772	CDKL2	0	0.155	0.02	
Q92918	MAP4K1	0	0.198	0.014	
Q93100	PHKB	0	0.068	0.012	
Q96BR1	SGK3	0	0.223	0.015	
Q96D53	ADCK4	0	0.091	0.014	
Q96GD4	AURKB	0	0.146	0.017	
Q96KB5	PBK	0	0.15	0.019	
Q96L34	MARK4	0	0.138	0.015	
Q96NX5	CAMK1G	0	0.166	0.013	
Q96PF2	TSSK2	0	0.198	0.021	
Q96PY6	NEK1	0	0.196	0.011	
Q96Q15	SMG1	0	0.162	0.009	
Q96Q40	CDK15	0	0.129	0.015	
Q96RG2	PASK	0	0.2	0.012	
Q96RR4	CAMKK2	0	0.185	0.013	
Q96S53	TESK2	0	0.186	0.014	
Q96SB4	SRPK1	0	0.193	0.015	
Q99558	MAP3K13	0	0.173	0.012	
Q99570	PIK3R4	0	0.176	0.01	
Q99640	PKMYT1	0	0.185	0.016	
Q99683	MAP3K5	0	0.15	0.011	
Q99755	PIP5K1A	0	0.177	0.018	
Q99759	MAP3K2	0	0.187	0.015	
Q99986	VRK1	0	0.132	0.019	
Q9BQI3	EGFR	0	0.266	0.017	
Q9BRS2	RIOK1	0	0.133	0.013	
Q9BUB5	MKNK1	0	0.171	0.02	
Q9BVS4	RIOK2	0	0.133	0.016	
Q9BWU1	CDK19	0	0.129	0.015	
Q9BXA7	TSSK1B	0	0.203	0.015	
Q9BXU1	STK31	0	0.201	0.012	
Q9BYP7	WNK3	0	0.161	0.009	
Q9BYT3	STK33	0	0.147	0.015	
Q9BZL6	PRKD2	0	0.278	0.012	
Q9C098	DCLK3	0	0.16	0.014	
Q9H093	NUAK2	0	0.154	0.015	
Q9H0K1	SIK2	0	0.169	0.013	
Q9H1R3	MYLK2	0	0.162	0.015	
Q9H2G2	SLK	0	0.199	0.012	
Q9H2K8	TAOK3	0	0.204	0.012	
Q9H2X6	HIPK1	0	0.198	0.012	
Q9H3Y6	SRMS	0	0.208	0.015	
Q9H422	HIPK2	0	0.16	0.01	
Q9H4A3	WNK1	0	0.12	0.009	
Q9H4B4	PLK3	0	0.174	0.012	
Q9HAZ1	CLK4	0	0.171	0.016	
Q9HBH9	MKNK2	0	0.158	0.015	
Q9HBY8	SGK2	0	0.159	0.018	
Q9HC98	NEK6	0	0.163	0.02	
Q9HCP0	CSNK1G1	0	0.162	0.014	
Q9NQU5	PAK6	0	0.184	0.013	
Q9NR20	DYRK4	0	0.167	0.015	
Q9NRA0	SPHK2	0	0.157	0.016	
Q9NRH2	SNRK	0	0.166	0.012	
Q9NRM7	LATS1	0	0.165	0.011	
Q9NRP7	STK36	0	0.177	0.01	
Q9NSY1	BMP2K	0	0.152	0.011	
Q9NWT8	AURKAIP1	0	0.042	0.02	
Q9NWZ3	IRAK3	0	0.185	0.017	
Q9NY57	STK32B	0	0.13	0.017	
Q9NYA1	SPHK1	0	0.224	0.018	
Q9NYL2	MLTK	0	0.002	0.016	
Q9NYY3	PLK2	0	0.198	0.014	
Q9NZJ5	EIF2AK2	0	0.189	0.011	
Q9P0L2	MARK1	0	0.139	0.012	
Q9P1W9	PIM2	0	0.178	0.019	
Q9P286	PAK7	0	0.187	0.014	
Q9P289	STK26	0	0.221	0.017	
Q9P2K8	EIF2AK3	0	0.19	0.01	
Q9UBE8	NLK	0	0.17	0.015	
Q9UBF8	PI4KB	0	0.162	0.014	
Q9UBS0	RPS6KB2	0	0.17	0.018	
Q9UBU7	DBF4	0	0.033	0.013	
Q9UEE5	STK17A	0	0.169	0.015	
Q9UEW8	STK39	0	0.221	0.017	
Q9UF33	EPHA5	0	0.307	0.011	
Q9UGI9	PRKAG3	0	0.15	0.016	
Q9UGJ0	PRKAG2	0	0.128	0.015	
Q9UHD2	TBK1	0	0.198	0.016	
Q9UIK4	DAPK2	0	0.173	0.018	
Q9UK32	RPS6KA6	0	0.177	0.016	
Q9UKE5	TNIK	0	0.256	0.011	
Q9UKI8	TLK1	0	0.165	0.014	
Q9UL54	TAOK2	0	0.257	0.012	
Q9UM73	ALK	0	0.334	0.011	
Q9UPE1	SRPK3	0	0.141	0.019	
Q9UPZ9	HUNK	0	0.148	0.012	
Q9UQ88	CDK11A	0	0.16	0.014	
Q9UQB9	AURKC	0	0.143	0.019	
Q9UQM7	CAMK2A	0	0.202	0.015	
Q9Y243	AKT3	0	0.192	0.016	
Q9Y2H1	STK38L	0	0.146	0.022	
Q9Y2H9	MAST1	0	0.165	0.01	
Q9Y2K2	SIK3	0	0.144	0.012	
Q9Y2U5	MAP3K19	0	0.188	0.016	
Q9Y3S1	WNK2	0	0.181	0.008	
Q9Y463	DYRK1B	0	0.169	0.014	
Q9Y478	PRKAB1	0	0.089	0.019	
Q9Y4K4	MAP4K5	0	0.21	0.014	
Q9Y572	RIPK3	0	0.21	0.015	
Q9Y5S2	CDC42BPB	0	0.176	0.009	
Q9Y616	IRAK1	0	0.25	0.014	
Q9Y6E0	STK24	0	0.229	0.017	
Q9Y6K9	IKBKE	0	0.188	0.022	
Q9Y6M4	CSNK1G3	0	0.159	0.014	
Q9Y6R4	MAP3K3	0	0.187	0.009	
