uniprot_id	gene_name	uniprot_KB	protein_name	organism
O14920	IGF1R	IKKB_HUMAN	Inhibitor of nuclear factor kappa-B kinase subunit beta (I-kappa-B-kinase beta) (IKK-B) (IKK-beta) (IkBKB) (EC 2.7.11.10) (I-kappa-B kinase 2) (IKK2) (Nuclear factor NF-kappa-B inhibitor kinase beta) (NFKBIKB)	Homo sapiens (Human)
O14965	AURKA	AURKA_HUMAN	Aurora kinase A (EC 2.7.11.1) (Aurora 2) (Aurora/IPL1-related kinase 1) (ARK-1) (Aurora-related kinase 1) (hARK1) (Breast tumor-amplified kinase) (Serine/threonine-protein kinase 15) (Serine/threonine-protein kinase 6) (Serine/threonine-protein kinase aurora-A)	Homo sapiens (Human)
O14976	FYN	GAK_HUMAN	Cyclin-G-associated kinase (EC 2.7.11.1)	Homo sapiens (Human)
O15075	DCLK1	DCLK1_HUMAN	Serine/threonine-protein kinase DCLK1 (EC 2.7.11.1) (Doublecortin domain-containing protein 3A) (Doublecortin-like and CAM kinase-like 1) (Doublecortin-like kinase 1)	Homo sapiens (Human)
O15111	CHUK	IKKA_HUMAN	Inhibitor of nuclear factor kappa-B kinase subunit alpha (I-kappa-B kinase alpha) (IKK-A) (IKK-alpha) (IkBKA) (IkappaB kinase) (EC 2.7.11.10) (Conserved helix-loop-helix ubiquitous kinase) (I-kappa-B kinase 1) (IKK1) (Nuclear factor NF-kappa-B inhibitor kinase alpha) (NFKBIKA) (Transcription factor 16) (TCF-16)	Homo sapiens (Human)
O15146	MUSK	MUSK_HUMAN	Muscle, skeletal receptor tyrosine-protein kinase (EC 2.7.10.1) (Muscle-specific tyrosine-protein kinase receptor) (MuSK) (Muscle-specific kinase receptor)	Homo sapiens (Human)
O15264	MAPK13	MK13_HUMAN	Mitogen-activated protein kinase 13 (MAP kinase 13) (MAPK 13) (EC 2.7.11.24) (Mitogen-activated protein kinase p38 delta) (MAP kinase p38 delta) (Stress-activated protein kinase 4)	Homo sapiens (Human)
O15530	PDPK1	PDPK1_HUMAN	3-phosphoinositide-dependent protein kinase 1 (hPDK1) (EC 2.7.11.1)	Homo sapiens (Human)
O43283	MAP3K12	M3K13_HUMAN	Mitogen-activated protein kinase kinase kinase 13 (EC 2.7.11.25) (Leucine zipper-bearing kinase) (Mixed lineage kinase) (MLK)	Homo sapiens (Human)
O43293	DAPK3	DAPK3_HUMAN	Death-associated protein kinase 3 (DAP kinase 3) (EC 2.7.11.1) (DAP-like kinase) (Dlk) (MYPT1 kinase) (Zipper-interacting protein kinase) (ZIP-kinase)	Homo sapiens (Human)
O43318	MAP3K7	M3K7_HUMAN	Mitogen-activated protein kinase kinase kinase 7 (EC 2.7.11.25) (Transforming growth factor-beta-activated kinase 1) (TGF-beta-activated kinase 1)	Homo sapiens (Human)
O43353	RIPK2	RIPK2_HUMAN	Receptor-interacting serine/threonine-protein kinase 2 (EC 2.7.11.1) (CARD-containing interleukin-1 beta-converting enzyme-associated kinase) (CARD-containing IL-1 beta ICE-kinase) (RIP-like-interacting CLARP kinase) (Receptor-interacting protein 2) (RIP-2) (Tyrosine-protein kinase RIPK2) (EC 2.7.10.2)	Homo sapiens (Human)
O43683	BUB1	BUB1_HUMAN	Mitotic checkpoint serine/threonine-protein kinase BUB1 (hBUB1) (EC 2.7.11.1) (BUB1A)	Homo sapiens (Human)
O43741	PRKAB2	AAKB2_HUMAN	5'-AMP-activated protein kinase subunit beta-2 (AMPK subunit beta-2)	Homo sapiens (Human)
O43781	DYRK3	DYRK3_HUMAN	Dual specificity tyrosine-phosphorylation-regulated kinase 3 (EC 2.7.12.1) (Regulatory erythroid kinase) (REDK)	Homo sapiens (Human)
O60285	NUAK1	NUAK1_HUMAN	NUAK family SNF1-like kinase 1 (EC 2.7.11.1) (AMPK-related protein kinase 5) (ARK5) (Omphalocele kinase 1)	Homo sapiens (Human)
O60331	PIP5K1C	PI51C_HUMAN	Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma (PIP5K1-gamma) (PtdIns(4)P-5-kinase 1 gamma) (EC 2.7.1.68) (Phosphatidylinositol 4-phosphate 5-kinase type I gamma) (PIP5KIgamma)	Homo sapiens (Human)
O60674	JAK1	JAK2_HUMAN	Tyrosine-protein kinase JAK2 (EC 2.7.10.2) (Janus kinase 2) (JAK-2)	Homo sapiens (Human)
O75116	ROCK2	ROCK2_HUMAN	Rho-associated protein kinase 2 (EC 2.7.11.1) (Rho kinase 2) (Rho-associated, coiled-coil-containing protein kinase 2) (Rho-associated, coiled-coil-containing protein kinase II) (ROCK-II) (p164 ROCK-2)	Homo sapiens (Human)
O75385	ULK1	ULK1_HUMAN	Serine/threonine-protein kinase ULK1 (EC 2.7.11.1) (Autophagy-related protein 1 homolog) (ATG1) (hATG1) (Unc-51-like kinase 1)	Homo sapiens (Human)
O75460	ERBB4	ERN1_HUMAN	Serine/threonine-protein kinase/endoribonuclease IRE1 (Endoplasmic reticulum-to-nucleus signaling 1) (Inositol-requiring protein 1) (hIRE1p) (Ire1-alpha) (IRE1a) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1)	ERN1
O75582	RPS6KA5	KS6A5_HUMAN	Ribosomal protein S6 kinase alpha-5 (S6K-alpha-5) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 5) (Nuclear mitogen- and stress-activated protein kinase 1) (RSK-like protein kinase) (RSKL)	Homo sapiens (Human)
O75676	RPS6KA4	KS6A4_HUMAN	Ribosomal protein S6 kinase alpha-4 (S6K-alpha-4) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 4) (Nuclear mitogen- and stress-activated protein kinase 2) (Ribosomal protein kinase B) (RSKB)	Homo sapiens (Human)
O75716	STK16	STK16_HUMAN	Serine/threonine-protein kinase 16 (EC 2.7.11.1) (Myristoylated and palmitoylated serine/threonine-protein kinase) (MPSK) (Protein kinase PKL12) (TGF-beta-stimulated factor 1) (TSF-1) (Tyrosine-protein kinase STK16) (EC 2.7.10.2) (hPSK)	Homo sapiens (Human)
O75747	PIK3C2G	P3C2G_HUMAN	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit gamma (PI3K-C2-gamma) (PtdIns-3-kinase C2 subunit gamma) (EC 2.7.1.154) (Phosphoinositide 3-kinase-C2-gamma)	Homo sapiens (Human)
O75914	PAK3	PAK3_HUMAN	Serine/threonine-protein kinase PAK 3 (EC 2.7.11.1) (Beta-PAK) (Oligophrenin-3) (p21-activated kinase 3) (PAK-3)	Homo sapiens (Human)
O75956	CDK2AP2	CDKA2_HUMAN	Cyclin-dependent kinase 2-associated protein 2 (CDK2-associated protein 2) (DOC-1-related protein) (DOC-1R)	Homo sapiens (Human)
O76039	CDKL5	CDKL5_HUMAN	Cyclin-dependent kinase-like 5 (EC 2.7.11.22) (Serine/threonine-protein kinase 9)	Homo sapiens (Human)
O94768	STK17B	ST17B_HUMAN	Serine/threonine-protein kinase 17B (EC 2.7.11.1) (DAP kinase-related apoptosis-inducing protein kinase 2)	Homo sapiens (Human)
O94804	STK10	STK10_HUMAN	Serine/threonine-protein kinase 10 (EC 2.7.11.1) (Lymphocyte-oriented kinase)	Homo sapiens (Human)
O94806	PRKD3	KPCD3_HUMAN	Serine/threonine-protein kinase D3 (EC 2.7.11.13) (Protein kinase C nu type) (Protein kinase EPK2) (nPKC-nu)	Homo sapiens (Human)
O94921	CDK14	CDK14_HUMAN	Cyclin-dependent kinase 14 (EC 2.7.11.22) (Cell division protein kinase 14) (Serine/threonine-protein kinase PFTAIRE-1) (hPFTAIRE1)	Homo sapiens (Human)
O95382	MAP3K6	M3K6_HUMAN	Mitogen-activated protein kinase kinase kinase 6 (EC 2.7.11.25) (Apoptosis signal-regulating kinase 2)	Homo sapiens (Human)
O95544	NADK	NADK_HUMAN	NAD kinase (EC 2.7.1.23) (Poly(P)/ATP NAD kinase)	Homo sapiens (Human)
O95747	OXSR1	OXSR1_HUMAN	Serine/threonine-protein kinase OSR1 (EC 2.7.11.1) (Oxidative stress-responsive 1 protein)	Homo sapiens (Human)
O95819	MAP4K4	M4K4_HUMAN	Mitogen-activated protein kinase kinase kinase kinase 4 (EC 2.7.11.1) (HPK/GCK-like kinase HGK) (MAPK/ERK kinase kinase kinase 4) (MEK kinase kinase 4) (MEKKK 4) (Nck-interacting kinase)	Homo sapiens (Human)
O95835	KIT	LATS1_HUMAN	Serine/threonine-protein kinase LATS1 (EC 2.7.11.1) (Large tumor suppressor homolog 1) (WARTS protein kinase) (h-warts)	Homo sapiens (Human)
O96013	PAK4	PAK4_HUMAN	Serine/threonine-protein kinase PAK 4 (EC 2.7.11.1) (p21-activated kinase 4) (PAK-4)	Homo sapiens (Human)
O96017	CHEK2	CHK2_HUMAN	Serine/threonine-protein kinase Chk2 (EC 2.7.11.1) (CHK2 checkpoint homolog) (Cds1 homolog) (Hucds1) (hCds1) (Checkpoint kinase 2)	Homo sapiens (Human)
P00519	ABL1	ABL1_HUMAN	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	Homo sapiens (Human)
P00533	EEF2K	EGFR_HUMAN	Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1)	Homo sapiens (Human)
P00749	PLAU	UROK_HUMAN	Urokinase-type plasminogen activator (U-plasminogen activator) (uPA) (EC 3.4.21.73) [Cleaved into: Urokinase-type plasminogen activator long chain A	 Urokinase-type plasminogen activator chain B]
P04049	RAF1	RAF1_HUMAN	RAF proto-oncogene serine/threonine-protein kinase (EC 2.7.11.1) (Proto-oncogene c-RAF) (cRaf) (Raf-1)	Homo sapiens (Human)
P04183	TK1	KITH_HUMAN	Thymidine kinase, cytosolic (EC 2.7.1.21)	Homo sapiens (Human)
P04626	EPHB4	ERBB2_HUMAN	Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340)	Homo sapiens (Human)
P04629	NTRK1	NTRK1_HUMAN	High affinity nerve growth factor receptor (EC 2.7.10.1) (Neurotrophic tyrosine kinase receptor type 1) (TRK1-transforming tyrosine kinase protein) (Tropomyosin-related kinase A) (Tyrosine kinase receptor) (Tyrosine kinase receptor A) (Trk-A) (gp140trk) (p140-TrkA)	Homo sapiens (Human)
P05129	PRKCG	KPCG_HUMAN	Protein kinase C gamma type (PKC-gamma) (EC 2.7.11.13)	Homo sapiens (Human)
P05771	PRKCB	KPCB_HUMAN	Protein kinase C beta type (PKC-B) (PKC-beta) (EC 2.7.11.13)	Homo sapiens (Human)
P06213	ILK	INSR_HUMAN	Insulin receptor (IR) (EC 2.7.10.1) (CD antigen CD220) [Cleaved into: Insulin receptor subunit alpha	INSR
P06239	LATS2	LCK_HUMAN	Tyrosine-protein kinase Lck (EC 2.7.10.2) (Leukocyte C-terminal Src kinase) (LSK) (Lymphocyte cell-specific protein-tyrosine kinase) (Protein YT16) (Proto-oncogene Lck) (T cell-specific protein-tyrosine kinase) (p56-LCK)	Homo sapiens (Human)
P06241	FRK	FYN_HUMAN	Tyrosine-protein kinase Fyn (EC 2.7.10.2) (Proto-oncogene Syn) (Proto-oncogene c-Fyn) (Src-like kinase) (SLK) (p59-Fyn)	Homo sapiens (Human)
P06493	CDK1	CDK1_HUMAN	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase)	Homo sapiens (Human)
P06732	CKM	KCRM_HUMAN	Creatine kinase M-type (EC 2.7.3.2) (Creatine kinase M chain) (M-CK) [Cleaved into: Creatine kinase M-type, N-terminally processed]	Homo sapiens (Human)
P07332	FER	FES_HUMAN	Tyrosine-protein kinase Fes/Fps (EC 2.7.10.2) (Feline sarcoma/Fujinami avian sarcoma oncogene homolog) (Proto-oncogene c-Fes) (Proto-oncogene c-Fps) (p93c-fes)	Homo sapiens (Human)
P07333	CSF1R	CSF1R_HUMAN	Macrophage colony-stimulating factor 1 receptor (CSF-1 receptor) (CSF-1-R) (CSF-1R) (M-CSF-R) (EC 2.7.10.1) (Proto-oncogene c-Fms) (CD antigen CD115)	Homo sapiens (Human)
P07947	YES1	YES_HUMAN	Tyrosine-protein kinase Yes (EC 2.7.10.2) (Proto-oncogene c-Yes) (p61-Yes)	Homo sapiens (Human)
P07948	LTK	LYN_HUMAN	Tyrosine-protein kinase Lyn (EC 2.7.10.2) (Lck/Yes-related novel protein tyrosine kinase) (V-yes-1 Yamaguchi sarcoma viral related oncogene homolog) (p53Lyn) (p56Lyn)	Homo sapiens (Human)
P07949	RET	RET_HUMAN	Proto-oncogene tyrosine-protein kinase receptor Ret (EC 2.7.10.1) (Cadherin family member 12) (Proto-oncogene c-Ret) [Cleaved into: Soluble RET kinase fragment	RET
P08069	ICK	IGF1R_HUMAN	Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain	IGF1R
P08581	MET	MET_HUMAN	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	Homo sapiens (Human)
P08631	GSK3B	HCK_HUMAN	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)	Homo sapiens (Human)
P08922	ROS1	ROS1_HUMAN	Proto-oncogene tyrosine-protein kinase ROS (EC 2.7.10.1) (Proto-oncogene c-Ros) (Proto-oncogene c-Ros-1) (Receptor tyrosine kinase c-ros oncogene 1) (c-Ros receptor tyrosine kinase)	Homo sapiens (Human)
P09619	PDGFRB	PGFRB_HUMAN	Platelet-derived growth factor receptor beta (PDGF-R-beta) (PDGFR-beta) (EC 2.7.10.1) (Beta platelet-derived growth factor receptor) (Beta-type platelet-derived growth factor receptor) (CD140 antigen-like family member B) (Platelet-derived growth factor receptor 1) (PDGFR-1) (CD antigen CD140b)	Homo sapiens (Human)
P09769	FGFR4	FGR_HUMAN	Tyrosine-protein kinase Fgr (EC 2.7.10.2) (Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog) (Proto-oncogene c-Fgr) (p55-Fgr) (p58-Fgr) (p58c-Fgr)	Homo sapiens (Human)
P0C1S8	WEE2	WEE2_HUMAN	Wee1-like protein kinase 2 (EC 2.7.10.2) (Wee1-like protein kinase 1B) (Wee1B kinase)	Homo sapiens (Human)
P0C264	SBK3	SBK3_HUMAN	Uncharacterized serine/threonine-protein kinase SBK3 (EC 2.7.11.1) (SH3-binding domain kinase family member 3) (Sugen kinase 110)	Homo sapiens (Human)
P10398	ARAF	ARAF_HUMAN	Serine/threonine-protein kinase A-Raf (EC 2.7.11.1) (Proto-oncogene A-Raf) (Proto-oncogene A-Raf-1) (Proto-oncogene Pks)	Homo sapiens (Human)
P10721	KHK	KIT_HUMAN	Mast/stem cell growth factor receptor Kit (SCFR) (EC 2.7.10.1) (Piebald trait protein) (PBT) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit) (p145 c-kit) (v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog) (CD antigen CD117)	Homo sapiens (Human)
P11274	BCR	BCR_HUMAN	Breakpoint cluster region protein (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-26)	Homo sapiens (Human)
P11309	PIM1	PIM1_HUMAN	Serine/threonine-protein kinase pim-1 (EC 2.7.11.1)	Homo sapiens (Human)
P11362	FES	FGFR1_HUMAN	Fibroblast growth factor receptor 1 (FGFR-1) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1) (BFGFR) (bFGF-R-1) (Fms-like tyrosine kinase 2) (FLT-2) (N-sam) (Proto-oncogene c-Fgr) (CD antigen CD331)	Homo sapiens (Human)
P11802	CDK4	CDK4_HUMAN	Cyclin-dependent kinase 4 (EC 2.7.11.22) (Cell division protein kinase 4) (PSK-J3)	Homo sapiens (Human)
P12931	SRC	SRC_HUMAN	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	Homo sapiens (Human)
P14616	INSR	INSRR_HUMAN	Insulin receptor-related protein (IRR) (EC 2.7.10.1) (IR-related receptor) [Cleaved into: Insulin receptor-related protein alpha chain	INSRR
P15056	BRAF	BRAF_HUMAN	Serine/threonine-protein kinase B-raf (EC 2.7.11.1) (Proto-oncogene B-Raf) (p94) (v-Raf murine sarcoma viral oncogene homolog B1)	Homo sapiens (Human)
P15735	PHKG2	PHKG2_HUMAN	Phosphorylase b kinase gamma catalytic chain, liver/testis isoform (PHK-gamma-LT) (PHK-gamma-T) (EC 2.7.11.19) (PSK-C3) (Phosphorylase kinase subunit gamma-2)	Homo sapiens (Human)
P16066	NPR1	ANPRA_HUMAN	Atrial natriuretic peptide receptor 1 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type A) (ANP-A) (ANPR-A) (NPR-A) (Guanylate cyclase A) (GC-A)	Homo sapiens (Human)
P16234	PDGFRA	PGFRA_HUMAN	Platelet-derived growth factor receptor alpha (PDGF-R-alpha) (PDGFR-alpha) (EC 2.7.10.1) (Alpha platelet-derived growth factor receptor) (Alpha-type platelet-derived growth factor receptor) (CD140 antigen-like family member A) (CD140a antigen) (Platelet-derived growth factor alpha receptor) (Platelet-derived growth factor receptor 2) (PDGFR-2) (CD antigen CD140a)	Homo sapiens (Human)
P16591	ERN1	FER_HUMAN	Tyrosine-protein kinase Fer (EC 2.7.10.2) (Feline encephalitis virus-related kinase FER) (Fujinami poultry sarcoma/Feline sarcoma-related protein Fer) (Proto-oncogene c-Fer) (Tyrosine kinase 3) (p94-Fer)	Homo sapiens (Human)
P17252	PRKCA	KPCA_HUMAN	Protein kinase C alpha type (PKC-A) (PKC-alpha) (EC 2.7.11.13)	Homo sapiens (Human)
P17612	PRKACA	KAPCA_HUMAN	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)	Homo sapiens (Human)
P17948	FGR	VGFR1_HUMAN	Vascular endothelial growth factor receptor 1 (VEGFR-1) (EC 2.7.10.1) (Fms-like tyrosine kinase 1) (FLT-1) (Tyrosine-protein kinase FRT) (Tyrosine-protein kinase receptor FLT) (FLT) (Vascular permeability factor receptor)	Homo sapiens (Human)
P19367	HIPK4	HXK1_HUMAN	Hexokinase-1 (EC 2.7.1.1) (Brain form hexokinase) (Hexokinase type I) (HK I)	Homo sapiens (Human)
P19525	EIF2AK1	E2AK2_HUMAN	Interferon-induced, double-stranded RNA-activated protein kinase (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 2) (eIF-2A protein kinase 2) (Interferon-inducible RNA-dependent protein kinase) (P1/eIF-2A protein kinase) (Protein kinase RNA-activated) (PKR) (Protein kinase R) (Tyrosine-protein kinase EIF2AK2) (EC 2.7.10.2) (p68 kinase)	Homo sapiens (Human)
P19784	CSNK2A2	CSK22_HUMAN	Casein kinase II subunit alpha' (CK II alpha') (EC 2.7.11.1)	Homo sapiens (Human)
P20594	NPR2	ANPRB_HUMAN	Atrial natriuretic peptide receptor 2 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type B) (ANP-B) (ANPR-B) (NPR-B) (Guanylate cyclase B) (GC-B)	Homo sapiens (Human)
P20794	MAGI3	MAK_HUMAN	Serine/threonine-protein kinase MAK (EC 2.7.11.22) (Male germ cell-associated kinase)	Homo sapiens (Human)
P21127	CDK11B	CD11B_HUMAN	Cyclin-dependent kinase 11B (EC 2.7.11.22) (Cell division cycle 2-like protein kinase 1) (CLK-1) (Cell division protein kinase 11B) (Galactosyltransferase-associated protein kinase p58/GTA) (PITSLRE serine/threonine-protein kinase CDC2L1) (p58 CLK-1)	Homo sapiens (Human)
P21709	EIF2AK4	EPHA1_HUMAN	Ephrin type-A receptor 1 (hEpha1) (EC 2.7.10.1) (EPH tyrosine kinase) (EPH tyrosine kinase 1) (Erythropoietin-producing hepatoma receptor) (Tyrosine-protein kinase receptor EPH)	Homo sapiens (Human)
P21802	FGFR1	FGFR2_HUMAN	Fibroblast growth factor receptor 2 (FGFR-2) (EC 2.7.10.1) (K-sam) (KGFR) (Keratinocyte growth factor receptor) (CD antigen CD332)	Homo sapiens (Human)
P21860	ERBB2	ERBB3_HUMAN	Receptor tyrosine-protein kinase erbB-3 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-3) (Tyrosine kinase-type cell surface receptor HER3)	Homo sapiens (Human)
P22455	FGFR3	FGFR4_HUMAN	Fibroblast growth factor receptor 4 (FGFR-4) (EC 2.7.10.1) (CD antigen CD334)	Homo sapiens (Human)
P22607	FGFR2	FGFR3_HUMAN	Fibroblast growth factor receptor 3 (FGFR-3) (EC 2.7.10.1) (CD antigen CD333)	Homo sapiens (Human)
P22612	PRKACG	KAPCG_HUMAN	cAMP-dependent protein kinase catalytic subunit gamma (PKA C-gamma) (EC 2.7.11.11)	Homo sapiens (Human)
P22694	PRKACB	KAPCB_HUMAN	cAMP-dependent protein kinase catalytic subunit beta (PKA C-beta) (EC 2.7.11.11)	Homo sapiens (Human)
P23443	RPS6KB1	KS6B1_HUMAN	Ribosomal protein S6 kinase beta-1 (S6K-beta-1) (S6K1) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 1) (P70S6K1) (p70-S6K 1) (Ribosomal protein S6 kinase I) (Serine/threonine-protein kinase 14A) (p70 ribosomal S6 kinase alpha) (p70 S6 kinase alpha) (p70 S6K-alpha) (p70 S6KA)	Homo sapiens (Human)
P23458	ITK	JAK1_HUMAN	Tyrosine-protein kinase JAK1 (EC 2.7.10.2) (Janus kinase 1) (JAK-1)	Homo sapiens (Human)
P23919	DTYMK	KTHY_HUMAN	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	Homo sapiens (Human)
P24723	PRKCH	KPCL_HUMAN	Protein kinase C eta type (EC 2.7.11.13) (PKC-L) (nPKC-eta)	Homo sapiens (Human)
P24941	CDK2	CDK2_HUMAN	Cyclin-dependent kinase 2 (EC 2.7.11.22) (Cell division protein kinase 2) (p33 protein kinase)	Homo sapiens (Human)
P25098	ADRBK1	ARBK1_HUMAN	Beta-adrenergic receptor kinase 1 (Beta-ARK-1) (EC 2.7.11.15) (G-protein coupled receptor kinase 2)	Homo sapiens (Human)
P27037	ACVR2A	AVR2A_HUMAN	Activin receptor type-2A (EC 2.7.11.30) (Activin receptor type IIA) (ACTR-IIA) (ACTRIIA)	Homo sapiens (Human)
P27144	AK4	KAD4_HUMAN	Adenylate kinase 4, mitochondrial (AK 4) (EC 2.7.4.10) (EC 2.7.4.6) (Adenylate kinase 3-like) (GTP:AMP phosphotransferase AK4)	Homo sapiens (Human)
P27361	MAPK3	MK03_HUMAN	Mitogen-activated protein kinase 3 (MAP kinase 3) (MAPK 3) (EC 2.7.11.24) (ERT2) (Extracellular signal-regulated kinase 1) (ERK-1) (Insulin-stimulated MAP2 kinase) (MAP kinase isoform p44) (p44-MAPK) (Microtubule-associated protein 2 kinase) (p44-ERK1)	Homo sapiens (Human)
P27448	MARK3	MARK3_HUMAN	MAP/microtubule affinity-regulating kinase 3 (EC 2.7.11.1) (C-TAK1) (cTAK1) (Cdc25C-associated protein kinase 1) (ELKL motif kinase 2) (EMK-2) (Protein kinase STK10) (Ser/Thr protein kinase PAR-1) (Par-1a) (Serine/threonine-protein kinase p78)	Homo sapiens (Human)
P27707	DCK	DCK_HUMAN	Deoxycytidine kinase (dCK) (EC 2.7.1.74)	Homo sapiens (Human)
